RecordId,CreationDate,RecordType,Operation,UserId,AuditData,AssociatedAdminUnits,AssociatedAdminUnitsNames
RECORD-00001,2026-06-15T23:37:14.0000000Z ,14,SecureLinkUsed,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""ClientAppName"":""Unknown"",""CorrelationId"":""[ID_REDACTED]""},""CreationTime"":""2026-06-15T23:37:14"",""Id"":""[ID_REDACTED]"",""Operation"":""SecureLinkUsed"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""None"",""BrowserName"":""Edge"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":false,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Unknown"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00002,2026-06-15T23:37:14.0000000Z ,14,SharingLinkUsed,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""ClientAppName"":""Unknown"",""CorrelationId"":""[ID_REDACTED]""},""CreationTime"":""2026-06-15T23:37:14"",""Id"":""[ID_REDACTED]"",""Operation"":""SharingLinkUsed"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""None"",""BrowserName"":""Edge"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":false,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<AllowAnonymousAccess>False</AllowAnonymousAccess><SubmitOnly>False</SubmitOnly>"",""Permission"":""Edit"",""SharingLinkScope"":""SpecificPeople"",""UniqueSharingId"":""[ID_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Unknown"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00003,2026-06-16T15:20:09.0000000Z ,14,AddedToSecureLink,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""AddedToSecureLink"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<Type>View</Type><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""TargetUserOrGroupType"":""[USER_OR_GROUP_REDACTED]"",""UniqueSharingId"":""[ID_REDACTED]"",""TargetUserOrGroupName"":""[USER_OR_GROUP_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00004,2026-06-16T15:20:09.0000000Z ,14,AddedToSharingLink,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""AddedToSharingLink"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<AllowAnonymousAccess>False</AllowAnonymousAccess><SubmitOnly>False</SubmitOnly><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""Edit"",""SharingLinkScope"":""SpecificPeople"",""TargetUserOrGroupType"":""[USER_OR_GROUP_REDACTED]"",""UniqueSharingId"":""[ID_REDACTED]"",""TargetUserOrGroupName"":""[USER_OR_GROUP_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00005,2026-06-16T15:20:09.0000000Z ,14,SecureLinkCreated,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""SecureLinkCreated"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<Type>View</Type><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""UniqueSharingId"":""[ID_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00006,2026-06-16T15:20:09.0000000Z ,14,SharingInheritanceBroken,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""SharingInheritanceBroken"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<copyRoleAssignments>True</copyRoleAssignments><clearSubScopes>False</clearSubScopes><dontAddCurrentUserToRoleAssignments>False</dontAddCurrentUserToRoleAssignments><copySpecificRoleAssignments>False</copySpecificRoleAssignments>"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00007,2026-06-16T15:20:09.0000000Z ,14,SharingInvitationCreated,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""SharingInvitationCreated"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""TargetUserOrGroupType"":""[USER_OR_GROUP_REDACTED]"",""TargetUserOrGroupName"":""[USER_OR_GROUP_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00008,2026-06-16T15:20:09.0000000Z ,14,SharingLinkCreated,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""AuthTime"":""2026-06-16T14:19:57"",""ClientAppName"":""Browser"",""CorrelationId"":""[ID_REDACTED]"",""DeviceId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:34:33"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:09"",""Id"":""[ID_REDACTED]"",""Operation"":""SharingLinkCreated"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""AuthenticationType"":""FormsCookieAuth"",""BrowserName"":""Chrome"",""BrowserVersion"":""[IP_REDACTED]"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<AllowAnonymousAccess>False</AllowAnonymousAccess><SubmitOnly>False</SubmitOnly><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""Edit"",""SharingLinkScope"":""SpecificPeople"",""UniqueSharingId"":""[ID_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Browser"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00009,2026-06-16T15:20:39.0000000Z ,14,SharingLinkUpdated,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""ClientAppId"":""[ID_REDACTED]"",""ClientAppName"":""Microsoft Office"",""CorrelationId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:09:51"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:39"",""Id"":""[ID_REDACTED]"",""Operation"":""SharingLinkUpdated"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""ApplicationId"":""[ID_REDACTED]"",""AuthenticationType"":""OAuth"",""BrowserName"":""Microsoft Outlook"",""BrowserVersion"":""16.0.19929"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<AllowAnonymousAccess>False</AllowAnonymousAccess><SubmitOnly>False</SubmitOnly><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""Edit"",""SharingLinkScope"":""SpecificPeople"",""UniqueSharingId"":""[ID_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Microsoft Office"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
RECORD-00010,2026-06-16T15:20:39.0000000Z ,14,SecureLinkUpdated,[USER_REDACTED],"{""AppAccessContext"":{""AADSessionId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""ClientAppId"":""[ID_REDACTED]"",""ClientAppName"":""Microsoft Office"",""CorrelationId"":""[ID_REDACTED]"",""TokenIssuedAtTime"":""2026-06-16T14:09:51"",""UniqueTokenId"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""UserObjectId"":""[USER_OR_GROUP_REDACTED]""},""CreationTime"":""2026-06-16T15:20:39"",""Id"":""[ID_REDACTED]"",""Operation"":""SecureLinkUpdated"",""OrganizationId"":""[ORG_ID_REDACTED]"",""RecordType"":14,""UserKey"":""[USER_OR_GROUP_REDACTED]"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""[IP_OR_DEVICE_REDACTED]"",""UserId"":""[USER_OR_GROUP_REDACTED]"",""ApplicationId"":""[ID_REDACTED]"",""AuthenticationType"":""OAuth"",""BrowserName"":""Microsoft Outlook"",""BrowserVersion"":""16.0.19929"",""CorrelationId"":""[ID_REDACTED]"",""EventSource"":""SharePoint"",""GeoLocation"":""NAM"",""IsManagedDevice"":true,""ItemType"":""Folder"",""ListId"":""[ID_REDACTED]"",""ListItemUniqueId"":""[ID_REDACTED]"",""Platform"":""WinDesktop"",""Site"":""[ID_REDACTED]"",""UserAgent"":""[USER_OR_GROUP_REDACTED]"",""WebId"":""[ID_REDACTED]"",""DeviceDisplayName"":""[IP_OR_DEVICE_REDACTED]"",""EventSignature"":""[TOKEN_OR_SIGNATURE_REDACTED]"",""EventData"":""<Type>View</Type><MembersCanShareApplied>False</MembersCanShareApplied>"",""Permission"":""None"",""SharingLinkScope"":""Uninitialized"",""UniqueSharingId"":""[ID_REDACTED]"",""SourceRelativeUrl"":""[URL_OR_PATH_REDACTED]"",""ApplicationDisplayName"":""Microsoft Office"",""SiteUrl"":""[URL_OR_PATH_REDACTED]"",""ObjectId"":""[URL_OR_PATH_REDACTED]""}",,
